Procedure,Category,Type,Task Object,Value,Human*,TARS,TARS*,Human,Observability,Predictability,Directability,Information Requirement,Constraint Type,Time constraint (in s),Execution Type,Row
ENGINE FIRE,EMER,SOP,"""Idle""",ANNOUNCE,green,red,red,,,,,"Engine fire alert, engine status, ATC communication readiness.",Hard-time,10.0,One-off,55
ENGINE FIRE,EMER,Memory Item,Throttle (affected engine),IDLE,green,red,red,,TARS monitors pilot's throttle actions.,,,"Engine status, throttle position, fire warning.",Hard-time,10.0,One-off,56
ENGINE FIRE,EMER,SOP,"""TOP""",ANNOUNCE,green,,green,,TARS must display current task status and actions to the pilot.,HUMAN should know when the timer is set off.,Pilot can override or redirect TARS actions via voice commands.,"Engine status, fire detection, ATC communication status.",Hard-time,10.0,One-off,57
ENGINE FIRE,EMER,SOP,Chrono,START,green,,green,,TARS must display the chrono status,,,"Engine status, fire detection, extinguisher status, ATC communication status.",Hard-time,30.0,One-off,58
ENGINE FIRE,EMER,Memory Item,Engine FIRE LIGHT,CHECK ON AFTER 15s,yellow,yellow,green,,TARS must display the chrono status and engine fire light status,,,"Engine fire status, checklist progress, TARS action log.",Hard-time,15.0,One-off,59
ENGINE FIRE,EMER,Memory Item,Illuminated ENGINE FIRE Switch,LIFT COVER AND PUSH,green,red,red,,TARS monitors pilot's actions.,,,"Engine fire status, TARS communication readiness, ATC frequency.",Hard-time,10.0,One-off,60
ENGINE FIRE,EMER,SOP,Checklist,ORDER START,yellow,yellow,green,,TARS displays current checklist step and expected worklow.,TARS announces next checklist step before execution.,Pilot can override or modify TARS actions via voice command.,"Engine temperature, fire detection status, fuel shutoff valve position.",Hard-time,30.0,One-off,61
ENGINE FIRE,EMER,SOP,Radio,ALLOCATE,green,red,red,,,,Human must command TARS to initiate or cease ATC communications.,"Engine status, fire detection, ATC frequency, emergency procedures.",Hard-time,10.0,One-off,62
ENGINE FIRE,EMER,SOP,Checklist,RETRIEVE,yellow,green,green,,TARS displays checklist progress; pilot confirms checklist initiation.,TARS anticipates pilot's checklist step confirmations; pilot expects TARS to announce next steps.,Pilot can override TARS actions; TARS prompts pilot for confirmations.,"Engine status, fire indicators, checklist steps, ATC communication status.",Hard-time,30.0,Continuous,63
ENGINE FIRE,EMER,Checklist,Immediate Action Item,CHECK DONE,green,red,red,,Pilot confirms,,,"Engine temperature, pressure, fire detection status, checklist steps.",Hard-time,30.0,One-off,64
ENGINE FIRE,EMER,SOP,"""Affected thrust lever, confirm and cutoff""",ANNOUNCE,yellow,yellow,green,,TARS displays thrust lever status and actions on cockpit screen.,TARS announces intended actions before execution.,Pilot can override TARS actions via voice command.,"Engine fire status, thrust lever position, engine parameters.",Hard-time,10.0,One-off,65
ENGINE FIRE,EMER,SOP,"""cutoff""",ANNOUNCE,green,red,red,,,,,"Engine fire status, ATC communication status, autopilot engagement.",Hard-time,30.0,One-off,66
ENGINE FIRE,EMER,Checklist,Throttle (affected engine),CUTOFF,green,red,red,,TARS monitors pilot's actions.,,,"Engine fire alert, throttle position, engine temperature.",Hard-time,10.0,One-off,67
ENGINE FIRE,EMER,SOP,"""Affected engine fuel boost confirm off then norm""",ANNOUNCE,yellow,yellow,green,,TARS displays engine status and action confirmation to pilot.,,Pilot can override or confirm TARS actions via voice command.,"Engine status, fuel boost switch position, fire warning status.",Hard-time,10.0,One-off,68
ENGINE FIRE,EMER,SOP,"""off then norm""",ANNOUNCE,green,red,red,,,,,"Engine fire status, annunciator panel, checklist steps.",Hard-time,10.0,One-off,69
ENGINE FIRE,EMER,Checklist,FUEL BOOST Switch (affected side),OFF,green,red,red,,TARS monitors pilot's actions.,,,"Engine fire status, fuel boost switch position.",Hard-time,10.0,One-off,70
ENGINE FIRE,EMER,Checklist,FUEL BOOST Switch (affected side),NORM,green,red,red,,TARS monitors pilot's actions.,,,"Engine fire status, fuel boost switch position, checklist progress.",Hard-time,10.0,One-off,71
ENGINE FIRE,EMER,Checklist,Engine FIRE LIGHT,CHECK ON AFTER 30s,yellow,yellow,green,,TARS must display checklist progress and status to the pilot.,,,"Engine status, FIRE LIGHT status, checklist steps.",Hard-time,30.0,Cyclic,72
ENGINE FIRE,EMER,SOP,"""30 seconds, light remains on, bottle discharge""",ANNOUNCE,yellow,yellow,green,,TARS must display task status and completion progress to the pilot.,TARS must communicate intended actions before execution.,,"Fire warning status, discharge status, time elapsed since warning.",Hard-time,30.0,One-off,73
ENGINE FIRE,EMER,SOP,"""discharge""",ANNOUNCE,green,red,red,,,,,"Engine fire status, ATC frequency, emergency procedures.",hard-time,10.0,one-off,74
ENGINE FIRE,EMER,Checklist,Illuminated BOTTLE ARMED Switch,PUSH,green,red,red,,TARS monitors pilot's actions.,,,"Engine fire status, BOTTLE ARMED switch position.",Hard-time,10.0,One-off,75
ENGINE FIRE,EMER,Checklist,Rotary Test,FIRE WARN,green,red,red,,TARS monitors pilot's actions.,,,"FIRE WARN status, engine parameters, ATC frequency.",hard-time,10.0,one-off,76
ENGINE FIRE,EMER,Checklist,Engine fire lights,Check both illuminate,green,red,red,,TARS monitors pilot's actions.,,,"Engine fire status, TARS communication status.",Hard-time,10.0,One-off,77
ENGINE FIRE,EMER,Checklist,Next Checklist,ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,green,green,green,,TARS displays checklist progress; pilot confirms task completion.,TARS anticipates pilot's checklist initiation; ,Pilot can postpone the execution,"Engine status, fire indicators, checklist steps, ATC communication status.",Hard-time,60.0,Cyclic,78
ENGINE FIRE,EMER,,Checklist,ANNOUNCE COMPLETED,green,red,red,,TARS must display checklist progress to the pilot.,,,"Engine status, fire indicators, checklist steps.",Hard-time,30.0,One-off,79
DECLARE EMERGENCY,EMER,SOP,ATC,ANNOUNCE EMERGENCY,yellow,green,orange,orange,TARS must display ATC communication message to the pilot.,Pilot must anticipate TARS's emergency declaration timing.,Pilot can override or confirm TARS's emergency declaration.,"Current aircraft status, ATC frequency, emergency nature.",Soft-time,30.0,One-off,80
DECLARE EMERGENCY,EMER,SOP,ATC,REQUEST VECTOR,yellow,green,orange,orange,TARS must display ATC communication message to the pilot.,Pilot must anticipate TARS's next communication with ATC.,Pilot can override or confirm TARS's actions via voice command.,"Current flight path, emergency status, ATC frequency, vector instructions.",Soft-time,30.0,One-off,81
DECLARE EMERGENCY,EMER,SOP,ATC,LISTEN,yellow,red,red,,,,,"ATC frequency, emergency nature, aircraft status.",Hard-time,30.0,One-off,82
DECLARE EMERGENCY,EMER,SOP,ATC,READBACK,yellow,red,red,,,,,"Emergency type, location, altitude, heading, fuel status.",Soft-time,30.0,One-off,83
DECLARE EMERGENCY,EMER,SOP,Heading,SET ACCORDINGLY,yellow,yellow,red,,TARS displays autopilot status;,,Pilot commands TARS to adjust heading;,"Current heading, desired heading, emergency status, ATC communication status.",Soft-time,30.0,One-off,84
DECLARE EMERGENCY,EMER,SOP,FLC,SET ACCORDINGLY,yellow,yellow,red,,TARS displays autopilot status;,,Pilot commands TARS to adjust FLC;,"Current flight level, emergency type, ATC frequency, autopilot status.",Hard-time,30.0,One-off,85
AFTER TAKEOFF,NORM,SOP,Checklist,ORDER START,yellow,yellow,green,,TARS displays checklist progress and status updates to pilot.,Pilot anticipates TARS's checklist sequence and timing.,Pilot can postpone checklist execution.,"Aircraft configuration, engine status, flight path, checklist items.",Soft-time,30.0,Cyclic,86
AFTER TAKEOFF,NORM,SOP,Checklist,RETRIEVE,green,green,green,,,TARS anticipates pilot's checklist initiation; pilot expects TARS to suggest next steps.,Pilot can verbally command TARS to adjust checklist pace or skip items.,"Checklist items, aircraft configuration, flight phase status.",Soft-time,60.0,Cyclic,87
AFTER TAKEOFF,NORM,Checklist,LANDING GEAR Handle,UP,green,green,red,,TARS must display gear status.,,,"Gear status, airspeed, altitude.",Soft-time.,10.0,One-off.,88
AFTER TAKEOFF,NORM,Checklist,Airspeed,CHECK V2 + 12,yellow,yellow,green,,Human sees TARS' airspeed checks and status updates.,,,"Current airspeed, V2 speed, aircraft configuration.",Soft-time,10.0,Cyclic,89
AFTER TAKEOFF,NORM,Checklist,Obstacles,CHECK CLEAR,yellow,yellow,red,,,,,"Obstacle proximity, aircraft altitude, climb rate.",Soft-time,30.0,Continuous,90
AFTER TAKEOFF,NORM,Checklist,FLAP Handle,UP,green,green,red,,TARS must display flap status.,Human must anticipate TARS's verbal reminders for flap retraction.,,"Flap position, airspeed, altitude, and climb rate.",Soft-time,30.0,One-off,91
AFTER TAKEOFF,NORM,Checklist,THROTTLES,CLB Detent,green,green,red,,TARS must display throttle detent status to pilot.,,,"Throttle position, climb rate, engine performance data.",Soft-time,30.0,One-off,92
AFTER TAKEOFF,NORM,Checklist,Yaw Damper,AS DESIRED,yellow,green,yellow,yellow,TARS displays yaw damper status changes to pilot.,TARS anticipates pilot's yaw damper adjustments.,Pilot commands TARS to adjust yaw damper settings.,"Yaw damper status, aircraft attitude, flight phase.",Soft-time,30.0,Cyclic,93
AFTER TAKEOFF,NORM,Checklist,Anti-Ice/Deice Systems,AS REQUIRED,yellow,green,red,,TARS displays anti-ice system status; pilot confirms visual indicators.,TARS alerts pilot of potential anti-ice activation needs.,,"Outside air temperature, wing surface status, system activation status.",Soft-time,120.0,Cyclic,94
AFTER TAKEOFF,NORM,Checklist,PAX SAFETY Switch,AS REQUIRED,yellow,green,red,,TARS must display PAX SAFETY switch status to pilot and requirement.,,,"PAX SAFETY switch position, checklist status.",soft-time,30.0,one-off,95
AFTER TAKEOFF,NORM,Checklist,LANDING Light Switch,AS REQUIRED,yellow,green,red,,TARS must display landing light status to the pilot and requirement.,Pilot must anticipate TARS's reminders for landing light status.,,"Landing light switch position, current flight phase.",Soft-time,30.0,One-off,96
AFTER TAKEOFF,NORM,Checklist,Pressurization,CHECK,green,green,green,,TARS displays pressurization status to pilot.,TARS anticipates pilot's pressurization check initiation.,,"Cabin altitude, differential pressure, system status.",Soft-time,120.0,Cyclic,97
AFTER TAKEOFF,NORM,Checklist,Altimeters (transition altitude),SET STD,green,green,green,,TARS displays altimeter setting changes; pilot confirms via cockpit display.,"TARS anticipates pilot's altimeter setting, pilot anticipates TARS altimeter setting",Pilot commands TARS to set altimeter to standard pressure.,"Current altitude, transition altitude, standard pressure setting.",Soft-time,30.0,One-off,98
AFTER TAKEOFF,NORM,Checklist,Altimeters (transition altitude),CROSSCHECK,green,green,green,,"Human sees TARS crosscheck, Human must confirm crosscheck.",,,"Current altimeter setting, transition altitude.",Soft-time,30.0,Cyclic,99
AFTER TAKEOFF,NORM,Checklist,Checklist,ANNOUNCE COMPLETED,green,green,green,,TARS displays checklist status; pilot confirms task completion visually/audibly.,TARS anticipates pilot's checklist completion cues; pilot expects TARS to announce.,,"Checklist items, task status, aircraft configuration.",Soft-time,30.0,Cyclic,100
AFTER TAKEOFF,NORM,Checklist,Next Checklist,ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,green,green,green,,TARS displays checklist progress.,TARS announces next checklist step before execution.,Pilot can override TARS actions via voice command.,"Engine status, autopilot mode, ATC communication status.",Soft-time,30.0,Cyclic,101
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,SOP,Checklist,ORDER START,yellow,yellow,green,,TARS displays checklist progress.,TARS announces next checklist step before execution.,Pilot can override TARS actions via voice command.,"Engine status, fuel levels, system alerts.",Soft-time,120.0,Cyclic,102
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,SOP,Checklist,RETRIEVE,green,green,green,,TARS displays checklist progress; pilot confirms checklist initiation.,TARS anticipates pilot's checklist step confirmation; pilot expects TARS task completion.,Pilot can override TARS actions; TARS suggests checklist steps.,"Engine status, system alerts, checklist steps.",Soft-time,120.0,One-off,103
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Throttle (affected engine),CUTOFF,yellow,yellow,red,,TARS displays engine status and monitor pilot's actions.,,,"Engine RPM, fuel flow, oil pressure, and temperature.",Hard-time,30.0,One-off,104
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,CAUTION text,READ,green,green,green,,,,Pilot can override TARS actions; TARS prompts pilot for confirmation.,"Engine status, checklist steps, ATC communication status, autopilot engagement.",Soft-time,60.0,Cyclic,105
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,GEN Switch (affected side),OFF,green,green,red,,TARS displays GEN switch status and monitor pilot's actions.,,,"GEN switch status, engine parameters, checklist steps.",soft-time,30.0,one-off,106
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,IGNITION switch (affected side),NORM,green,green,red,,TARS displays IGN switch status and monitor pilot's actions.,,,"Ignition switch status, engine performance data.",Soft-time,30.0,One-off,107
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Electrical Load,REDUCE as required (<= 300A),yellow,yellow,red,,TARS must display current electrical load and recommendations.,Human must anticipate TARS's suggestions for load reduction.,Human can command TARS to suggest specific load reduction actions.,"Current electrical load, available systems to shed, load reduction targets.",Soft-time,120.0,Continuous,108
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Fuel TRANSFER Knob,AS REQUIRED,yellow,yellow,red,,TARS must display fuel transfer status to pilot.,,,"Fuel levels, transfer knob position, engine status.",Soft-time,60.0,One-off,109
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Verify ENGINE FIRE Switch (affected side),Is pushed,green,green,green,,Human sees TARS status on ENGINE FIRE switch engagement.,Human anticipates TARS will verify switch engagement.,Human can override TARS actions via verbal command.,"ENGINE FIRE switch status, engine parameters.",hard-time,10.0,one-off,110
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Next checklist,SINGLE-ENGINE APPROACH AND LANDING,green,green,green,,TARS displays checklist progress.,TARS anticipates pilot's checklist initiation.,Pilot can command TARS to adjust checklist priorities; TARS suggests checklist priorities.,"Engine status, checklist steps, autopilot settings, ATC communications.",Soft-time,120.0,Cyclic,111
