Procedure,Task,Human*,TARS,TARS*,Human,Observability,Predictability,Directability
Takeoff - Normal,Check N1% matches command bug,yellow,yellow,green,,"High - The autonomous agent should be able to monitor the N1% and compare it with the command bug, and it should be able to communicate this information to the human pilot. The human pilot should be able to observe the actions of the autonomous agent through the interface, including the status of the N1% check.","High - The autonomous agent should follow a predictable sequence of actions when checking the N1% matches command bug. The human pilot should be able to anticipate these actions, and the autonomous agent should be able to anticipate the pilot's actions based on standard operating procedures.","Medium - The human pilot should be able to direct the autonomous agent to perform the N1% check, but the autonomous agent should also be able to initiate this task independently if necessary. The autonomous agent should be able to follow the pilot's instructions, but it should also have some autonomy to ensure the safety and efficiency of the flight."
Takeoff - Normal,Release brakes,green,red,red,,Low,High,None
Takeoff - Normal,"""Airspeed's alive""",yellow,green,green,,"High - The autonomous agent should be able to observe the airspeed and other relevant flight parameters through the avionics systems. It should also be able to perceive the actions and intentions of the human pilot, such as the pilot's inputs to the controls and instruments. The human pilot should be able to observe the actions and status of the autonomous agent through a human-autonomy interface, such as an indication of the agent's current task and status.","High - The autonomous agent should be able to predict the human pilot's actions based on the current flight parameters and the pilot's past actions. For example, the agent should anticipate that the pilot will increase throttle when the airspeed is low. The human pilot should be able to predict the actions of the autonomous agent based on the agent's programmed procedures and the current flight parameters.","Medium - The autonomous agent should be able to influence the actions of the human pilot by providing alerts or suggestions, such as a reminder to increase throttle when the airspeed is low. However, the final decision should always be in the hands of the human pilot. The human pilot should be able to direct the actions of the autonomous agent through commands or inputs, but the agent's ability to follow these directions may be limited by its programmed procedures and safety constraints."
Takeoff - Normal,"""70 kts""",yellow,green,green,,"High - The autonomous agent should be able to monitor the speed of the aircraft through the avionics systems and determine when the aircraft has reached 70 knots. Similarly, the human pilot should be able to observe the actions and status of the autonomous agent through the human-autonomy interface.","High - The actions required to reach 70 knots during takeoff are well-defined and predictable. The autonomous agent should be programmed to follow these actions, and the human pilot should be able to anticipate what the autonomous agent will do next.","Medium - The human pilot should be able to influence the actions of the autonomous agent if necessary, such as if there is a need to abort the takeoff. However, the autonomous agent should also be able to operate independently to reach 70 knots if the human pilot is incapacitated or otherwise unable to perform the task."
Takeoff - Normal,"""V1""",yellow,green,green,,"High - The autonomous agent must be able to accurately perceive the actions and status of the human pilot, especially during the critical V1 phase of takeoff. This includes monitoring the pilot's control inputs, the aircraft's speed, altitude, and other critical parameters. The human pilot should also be able to observe the actions and status of the autonomous agent, such as what tasks it is performing, what decisions it is making, and its overall status.","High - The autonomous agent should be able to anticipate the actions of the human pilot, such as when they will initiate the V1 phase, and how they will handle the aircraft during this phase. This is critical for the agent to effectively support the pilot. Similarly, the human pilot should be able to predict the actions of the autonomous agent, such as when it will take over certain tasks, and what decisions it will make.","Medium - The autonomous agent should be able to influence the actions of the human pilot during the V1 phase, such as suggesting course corrections or speed adjustments. However, the final decision should always lie with the human pilot. Conversely, the human pilot should have a high degree of control over the autonomous agent, such as being able to override its decisions or direct it to perform certain tasks."
Takeoff - Normal,"""Rotate""",yellow,green,green,,"High - The autonomous agent needs to have a high level of observability to monitor the pilot's actions, status and intentions during the ""Rotate"" task. This includes monitoring the pilot's physical condition, the status of the aircraft's controls and instruments, and the pilot's compliance with the takeoff procedure. The human pilot also needs to have high observability of the autonomous agent's actions and status, especially if the agent is performing the ""Rotate"" task. This can be achieved through appropriate feedback mechanisms in the human-autonomy interface.","High - The autonomous agent needs to be highly predictable so that the pilot can anticipate its actions during the ""Rotate"" task. This includes knowing when the agent will take control of the aircraft, when it will initiate the rotation, and when it will hand control back to the pilot. Similarly, the pilot needs to be predictable so that the agent can anticipate his actions and provide appropriate support. This can be achieved through clear communication and adherence to standard operating procedures.","Medium - The autonomous agent needs to have a certain level of directability so that the pilot can influence its actions during the ""Rotate"" task. This includes the ability to override the agent's decisions or to request assistance from the agent. However, the agent also needs to have some autonomy to perform the task efficiently and to take control in emergency situations. The pilot's directability is unknown as a supporter, but it is assumed that he can follow instructions from the agent if necessary. This can be achieved through a well-designed human-autonomy interface that balances control between the pilot and the agent."
Takeoff - Normal,Rotate,yellow,red,red,,"High - The autonomous agent needs to have a high level of observability in this task. It should be able to perceive the actions of the human pilot, monitor the status of the controls and instruments, and understand the intentions of the pilot during the takeoff procedure. This is important to ensure that the agent can react appropriately in case of any unexpected situations or emergencies.","Medium - Predictability is moderately important in this task. The autonomous agent should be able to anticipate the actions of the human pilot to a certain extent, especially during the takeoff procedure. However, since the agent is not directly involved in the task of rotation, its ability to predict the pilot's actions is less critical than in other tasks.","Low - Directability is not very important in this task. Since the autonomous agent cannot perform the task of rotation and the human pilot's ability to support is unknown, the agent's ability to influence the pilot's actions or decisions is not crucial. The primary role of the agent in this task is to monitor the situation and react if necessary, rather than to direct the pilot's actions."
Takeoff - Normal,Maintain 10deg pitch,yellow,red,red,,High. The autonomous agent should be able to observe and monitor the pitch angle of the aircraft through the avionics systems. It should also be able to perceive if the human pilot is maintaining the 10deg pitch as required during the takeoff procedure.,"Medium. The autonomous agent should be able to predict the actions of the human pilot based on the standard takeoff procedure and the pilot's past performance. However, the human factor introduces an element of unpredictability, as the pilot may not always maintain the 10deg pitch perfectly.","Low. The autonomous agent cannot directly influence the actions of the human pilot in maintaining the 10deg pitch, as it is not capable of physically manipulating the controls. However, it can provide alerts or suggestions to the pilot through the human-autonomy interface."
Takeoff - Normal,scan slip/skid indicator,yellow,red,red,,"High - The autonomous agent needs to have a high degree of observability to monitor the human pilot's actions, particularly in relation to the slip/skid indicator. Even though the autonomous agent cannot assist in this task, it should still be able to observe and understand the pilot's actions and the status of the slip/skid indicator. This will allow the autonomous agent to anticipate potential issues and react accordingly, even if its ability to assist is limited.","Medium - The predictability requirement for the autonomous agent is medium. Given that the human pilot is the primary performer of the task and the autonomous agent cannot assist, the agent's actions are not directly influencing the task. However, the agent should still have a predictable response pattern in case of any anomalies detected during the task.","Low - The directability requirement for this task is low. The autonomous agent cannot perform the task or assist the human pilot in performing it. Therefore, the pilot's ability to direct the agent's actions in relation to this task is not relevant. However, the agent should still be able to respond to direct commands from the pilot in relation to other tasks or procedures."
Takeoff - Normal,check positive rate,yellow,yellow,green,,"High - The autonomous agent needs to have a high degree of observability to effectively monitor the human pilot's actions and status. It should be able to perceive the pilot's actions in real-time, such as the pilot's control inputs, and the status of the aircraft's systems. This will enable the agent to accurately determine when the positive rate check is required during the takeoff procedure and if the human pilot has performed it correctly.","High - The autonomous agent's actions should be highly predictable to the human pilot. As the agent will be performing or supporting critical tasks during the takeoff procedure, the pilot needs to anticipate what the agent will do next. This includes knowing when and how the agent will perform the positive rate check, and what actions the agent will take if the check reveals any issues.","Medium - The degree of directability required for the autonomous agent is medium. While the agent should be able to perform tasks autonomously, the human pilot should still have the ability to influence the agent's actions or decisions when necessary. For example, the pilot should be able to override the agent's decision if they believe it is necessary for safety reasons. However, as the agent is designed to improve reliability, the pilot's influence should not compromise the agent's ability to perform its tasks."
Takeoff - Normal,"""Positive rate, gear up""",green,yellow,green,,"High - The autonomous agent must be able to observe the actions of the human pilot during takeoff, including the positive rate and gear up. It should have access to the necessary avionics systems to monitor the status of these actions. The human pilot should also be able to observe the actions and status of the autonomous agent, especially if it is performing the task.","High - The autonomous agent should be able to predict the actions of the human pilot during takeoff, including the positive rate and gear up. This is crucial for the agent to provide support or take over the task if necessary. The human pilot should also be able to predict the actions of the autonomous agent, especially if it is performing the task.","Medium - The autonomous agent should be able to influence the actions of the human pilot during takeoff, especially if the pilot is not performing the task correctly. However, the pilot should still have ultimate control over the aircraft. The human pilot should also be able to direct the actions of the autonomous agent, especially if it is performing the task."
Takeoff - Normal,Gear up,green,red,red,,High,Medium,Low
Takeoff - Emergency,Apply rudder,yellow,red,red,,High,Medium,Low
Takeoff - Emergency,Trim rudder,yellow,green,yellow,yellow,"High - The autonomous agent should be able to observe and understand the status of the rudder trim and the actions of the human pilot in real-time. This includes the ability to monitor the position of the rudder trim, the speed and direction of any changes, and any commands issued by the human pilot. The human pilot should also be able to see the actions and status of the autonomous agent, including any changes it makes to the rudder trim and any alerts or warnings it issues.","High - The autonomous agent should be able to predict the actions of the human pilot based on the current flight conditions, the status of the aircraft, and the standard operating procedures for a takeoff emergency. This includes anticipating when the human pilot will trim the rudder and how much trim will be applied. The human pilot should also be able to predict the actions of the autonomous agent, including when it will intervene to adjust the rudder trim and how it will respond to different emergency scenarios.","Medium - The autonomous agent should be able to influence the actions of the human pilot by providing alerts, warnings, and recommendations based on the current flight conditions and the status of the aircraft. However, the final decision on how to respond to a takeoff emergency, including how to trim the rudder, should rest with the human pilot. The human pilot should also be able to direct the actions of the autonomous agent, including overriding its decisions if necessary. However, the autonomous agent should have some autonomy to act independently in certain situations to ensure the safety of the flight."
Takeoff - Emergency,Announce alarm,yellow,yellow,green,,"High - The autonomous agent must be able to accurately perceive the status of the aircraft's systems and any alarms that may be triggered. It should be able to understand the severity of the situation and the urgency of the alarm. The human pilot must be able to perceive the actions of the autonomous agent, such as when it announces an alarm and the steps it takes in response.","High - The autonomous agent should be able to predict the pilot's actions based on the alarm and the emergency procedures in place. The pilot should also be able to predict the agent's actions, such as when it will announce an alarm and what steps it will take in response to the alarm.","Medium - The autonomous agent should be able to influence the pilot's actions by providing clear and concise information about the alarm and suggested actions. The pilot should be able to direct the agent's actions, such as when to announce an alarm or when to take over certain tasks. However, the agent's ability to direct the pilot may be limited by the pilot's training and experience."
Takeoff - Emergency,"""Reset Master Warning""",green,red,red,,High,Medium,Low
Takeoff - Emergency,Reset Master Warning,green,red,red,,"High. The autonomous agent needs to be able to observe and understand the human pilot's actions and intentions, particularly when the master warning is reset. This is crucial for the agent to be able to accurately assess the situation and provide appropriate assistance in other areas.","Low. Since the autonomous agent cannot assist or perform the task of resetting the master warning, it does not need to predict the human pilot's actions in this regard. However, it should be able to predict the pilot's actions in other areas to provide timely and relevant assistance.","Low. The autonomous agent cannot influence the human pilot's actions in resetting the master warning, as this task is solely reserved for the human pilot. However, the agent should be able to direct the pilot's actions in other areas where it can provide assistance."
Takeoff - Emergency,Set FD TO Mode,yellow,green,green,,"High - The autonomous agent needs to have a high level of observability to monitor the human pilot's actions, intentions, and status. This is crucial to ensure the autonomous agent can step in and perform the task of setting the Flight Director (FD) to Takeoff (TO) mode in case the human pilot is unable to do so. The human pilot also needs to be able to observe the autonomous agent's actions to ensure it is performing the task correctly.","High - The autonomous agent needs to be highly predictable so that the human pilot can anticipate its actions. This is important to ensure smooth coordination between the human pilot and the autonomous agent, especially in an emergency takeoff scenario. The human pilot's actions should also be predictable to the autonomous agent to facilitate efficient task sharing.","High - The autonomous agent needs to have a high level of directability to allow the human pilot to influence its actions or decisions. This is important to ensure the human pilot can override the autonomous agent's actions if necessary. In the same vein, the autonomous agent should be able to direct the human pilot, especially if the pilot is not performing the task correctly or efficiently."
Takeoff - Emergency,Maintain 10deg pitch,yellow,red,red,,High,Medium,Low
Takeoff - Emergency,Check L/G up,yellow,yellow,green,,"High - The autonomous agent should be able to clearly observe and understand the actions and intentions of the human pilot, especially in an emergency scenario. The agent should be able to monitor the status of the landing gear (L/G) and other critical systems, and should be able to communicate this information to the pilot effectively. The human pilot should also be able to observe and understand the actions and status of the autonomous agent, including its current tasks, status of completion, and any issues or errors.","High - The autonomous agent's actions should be predictable to the human pilot. This means that the agent should follow a consistent set of rules and procedures when performing tasks, and should communicate its intentions clearly to the pilot. The pilot should also be able to anticipate what the agent will do next based on its current actions and status. This is crucial for maintaining a smooth workflow and for ensuring that the pilot can react appropriately in case of unexpected events or issues.","Medium - The autonomous agent should be able to take directions from the human pilot and adjust its actions accordingly. However, in an emergency scenario, the agent may need to take autonomous actions to ensure the safety of the flight. The pilot should be able to override the agent's actions if necessary, but the agent should also be able to refuse or question directives that could compromise safety. The balance of directability may depend on the specific circumstances and the level of trust between the pilot and the agent."
Takeoff - Emergency,Check Airspeed V2,yellow,yellow,green,,"High - The autonomous agent needs to have a high level of observability to accurately monitor the airspeed V2 and the actions of the human pilot. The human pilot also needs to be able to clearly see the actions and status of the autonomous agent, especially in an emergency takeoff scenario. Both parties should be able to perceive each other's actions and status clearly to ensure safety and efficiency.","High - The autonomous agent's actions need to be highly predictable to the human pilot. In an emergency situation, it's crucial that the pilot can anticipate what the autonomous agent will do next. This will allow for better coordination and faster response times. The autonomous agent also needs to predict the human pilot's actions accurately to provide appropriate support.","Medium - The autonomous agent should have a certain level of directability by the human pilot, especially in emergency situations. The pilot should be able to override the autonomous agent's actions if necessary. However, the autonomous agent should also have some autonomy to perform tasks independently, especially if the human pilot is incapacitated or unable to perform the task. The exact level of directability might depend on the specific situation and the capabilities of the autonomous agent and the human pilot."
Takeoff - Emergency,"""Speed mode FLC V2, heading mode""",yellow,yellow,green,,"High - The autonomous agent needs to have a high level of observability in this task. It needs to be able to perceive the actions and intentions of the human pilot, as well as the status of the aircraft's controls and instruments. This includes being able to monitor the speed mode, heading mode, and any changes the pilot makes to these settings. It also includes being able to monitor the status of the autopilot and FMS, and any changes the pilot makes to these systems.","High - The autonomous agent also needs to have a high level of predictability in this task. It needs to be able to anticipate what the human pilot will do next, such as changing the speed mode or heading mode, or adjusting the autopilot or FMS settings. This will allow the agent to provide timely and appropriate support to the pilot, and to take over the task if necessary.","Medium - The autonomous agent needs to have a medium level of directability in this task. It needs to be able to influence the actions or decisions of the human pilot, but not to the extent of taking over the task completely. This includes being able to suggest changes to the speed mode or heading mode, or to the autopilot or FMS settings, based on its monitoring of the aircraft's controls and instruments. However, the final decision on whether to implement these changes should remain with the pilot."
Takeoff - Emergency,"Set speed mode, heading mode",green,,green,,"High - The autonomous agent should be able to observe the actions of the human pilot in setting the speed and heading mode, and vice versa. This is crucial in an emergency takeoff situation where both the human pilot and the autonomous agent need to be aware of each other's actions to ensure a coordinated response. The autonomous agent should be able to perceive the status of the speed and heading mode through the avionics systems, and the human pilot should be able to observe the autonomous agent's actions through the human-autonomy interface.","High - The autonomous agent should be predictable in its actions when setting the speed and heading mode, and the human pilot should be able to anticipate these actions. This is important for maintaining a smooth and coordinated response during an emergency takeoff. Similarly, the human pilot's actions should be predictable to the autonomous agent, which can be achieved through clear communication and standard operating procedures.","Medium - The autonomous agent should be able to influence the human pilot's actions when setting the speed and heading mode, especially if the autonomous agent detects a potential issue or error. However, the final decision should rest with the human pilot, given the critical nature of the task. Conversely, the human pilot should be able to direct the autonomous agent's actions, especially if the pilot needs to override the autonomous agent's decisions for safety reasons. The level of directability might be lower compared to observability and predictability due to the need for human oversight and decision-making in emergency situations."
Takeoff - Emergency,Contact ATC to announce emergency,yellow,yellow,orange,orange,"High - The autonomous agent should be able to observe the pilot's actions and status, including any signs of distress or inability to perform the task. The pilot should also be able to observe the agent's actions and status, including whether it has successfully contacted ATC and announced the emergency. The agent should provide clear feedback to the pilot about its actions and the status of the emergency announcement.","High - The autonomous agent needs to predict the pilot's actions and needs in an emergency situation, and the pilot needs to predict the agent's actions in contacting ATC. The agent should follow a predictable protocol for announcing emergencies to ATC, and the pilot should be aware of this protocol.","High - The pilot should be able to direct the autonomous agent to contact ATC and announce the emergency, and the agent should be able to follow these directions accurately. The agent should also be able to direct the pilot to perform necessary actions in the emergency situation, and the pilot should be able to follow these directions."
Takeoff - Emergency,Listen ATC,green,green,red,,High,Medium,Low
Takeoff - Emergency,"""700ft, engage autopilot""",yellow,yellow,green,,"High - The autonomous agent needs to have a high level of observability to monitor the altitude of the aircraft and the status of the autopilot system. It must also be able to perceive the human pilot's actions and intentions, such as whether the pilot is attempting to engage the autopilot or is struggling with the controls. The human pilot also needs to be able to observe the actions of the autonomous agent, such as when it engages the autopilot.","High - The autonomous agent's actions need to be predictable to the human pilot. The pilot needs to know that once the aircraft reaches 700ft, the autonomous agent will engage the autopilot. Similarly, the autonomous agent needs to predict the pilot's actions and intentions, such as if the pilot plans to manually engage the autopilot or not.","Medium - The autonomous agent should have the ability to take over the task of engaging the autopilot if the human pilot is unable to do so. However, the human pilot should also have the ability to override the autonomous agent's actions if necessary. The level of directability may not need to be as high as observability and predictability, as the task is relatively straightforward and the autonomous agent has been designed to perform it reliably."
Takeoff - Emergency,Engage autopilot,green,green,orange,orange,"High - The autonomous agent should be able to perceive the actions, intentions, and status of the human pilot. This includes recognizing when the pilot is engaging the autopilot, understanding the pilot's intentions in an emergency situation, and being aware of the pilot's physical and mental status. Similarly, the human pilot should be able to perceive the actions and status of the autonomous agent, including knowing when the agent is assisting with autopilot engagement and understanding the agent's status in terms of its operational capabilities and limitations.","High - The autonomous agent should be able to anticipate what the human pilot will do next, particularly in an emergency situation. This includes predicting when the pilot will engage the autopilot and what actions the pilot will take in response to the emergency. The human pilot should also be able to anticipate what the autonomous agent will do next, such as when the agent will assist with autopilot engagement and how the agent will respond to the emergency.","Medium - The autonomous agent should be able to influence the actions or decisions of the human pilot to some extent, such as suggesting when to engage the autopilot or advising on the best course of action in an emergency. However, the final decision should always rest with the human pilot. Similarly, the human pilot should be able to direct the actions of the autonomous agent, such as instructing the agent to assist with autopilot engagement or to issue calls to ATC. However, the agent's ability to follow these instructions may be limited by its programming and operational capabilities."
Takeoff - Emergency,Check V2+12,yellow,yellow,green,,High,High,High
Takeoff - Emergency,"""Retract flaps""",yellow,yellow,green,,"High - The autonomous agent needs to be able to observe the human pilot's actions and status, especially in an emergency takeoff scenario. This includes monitoring the pilot's physical condition, stress levels, and actions taken on the controls. The agent should also be able to observe the status of the flaps and other critical systems. The human pilot, on the other hand, should be able to observe the actions and status of the autonomous agent, including what tasks it is currently performing or planning to perform.","High - In an emergency scenario, it is crucial that the autonomous agent can predict the human pilot's actions and decisions, to ensure smooth cooperation and avoid any conflicts or misunderstandings. The agent should be able to anticipate if and when the pilot will retract the flaps, based on the current situation and the pilot's past behavior. The human pilot should also be able to predict the actions of the autonomous agent, to understand what it will do next and how it will react to different situations.","Medium - The autonomous agent should be able to influence the human pilot's actions and decisions, especially if the pilot is about to make a mistake or overlook something important. However, the agent should not override the pilot's decisions without a good reason, as this could lead to conflicts and reduce the pilot's trust in the agent. The human pilot should have the ability to direct the actions of the autonomous agent, but this might not always be necessary or desirable, especially if the agent is performing well and making correct decisions."
Takeoff - Emergency,Retract flaps,green,red,red,,High,Medium,Low
Engine Fire Emergency Procedure,"""Affected thrust lever, confirm and idle""",yellow,yellow,green,,"High - The autonomous agent needs to be able to accurately perceive the actions and intentions of the human pilot, especially in an emergency situation such as an engine fire. This includes recognizing when the pilot is attempting to confirm and idle the affected thrust lever, as well as monitoring the status of the lever and other relevant controls and instruments. Likewise, the pilot needs to be able to observe the actions and status of the autonomous agent to ensure it is performing its tasks correctly and to maintain situational awareness.","High - In an emergency situation, it is crucial that the pilot and the autonomous agent can anticipate each other's actions to ensure a coordinated response. The autonomous agent needs to predict the pilot's actions based on the current situation and the standard emergency procedures. Similarly, the pilot needs to understand what actions the autonomous agent will take, and when, to avoid confusion or conflicts.","Medium - The autonomous agent should be able to influence the pilot's actions to some extent, for example by providing reminders or suggestions based on the emergency procedures. However, the final decision should always be in the hands of the human pilot, who has the ultimate responsibility for the safety of the flight. Conversely, the pilot should be able to direct the actions of the autonomous agent, for example by overriding its decisions or commands if necessary. However, the autonomous agent should also have some autonomy to act independently when required, within the limits set by its programming and the rules of aviation."
Engine Fire Emergency Procedure,"""Idle""",green,red,red,,"Low - Given the nature of the task ""Idle"" in the Engine Fire Emergency Procedure, it is assumed that the human pilot can perform it entirely. The autonomous agent, in this case, does not have a role in assisting or observing the task. The agent cannot perceive the actions, intentions, or status of the human during this task due to the limitations set.","High - Since the autonomous agent has no role in the task ""Idle"", it can anticipate that the human pilot will perform the task without its assistance. The predictability is high because the human's actions are predefined and the agent is aware that it has no role in this task.","Low - The autonomous agent cannot influence the actions or decisions of the human pilot during the task ""Idle"" in the Engine Fire Emergency Procedure. The task is entirely under the control of the human pilot, and the agent has no authority or capability to direct the pilot's actions."
Engine Fire Emergency Procedure,Throttle affected idle,green,red,red,,High,Medium,Low
Engine Fire Emergency Procedure,"""TOP""",green,,green,,"High - The autonomous agent should have a high level of observability in this task. It should be able to perceive the actions and status of the human pilot, as well as the status of the aircraft's systems. This is crucial for the agent to be able to react appropriately in an emergency situation like an engine fire. The agent should be able to monitor the pilot's actions, the status of the fire suppression systems, and other relevant parameters.","High - The autonomous agent needs to be highly predictable in this situation. The human pilot should be able to anticipate the actions of the agent, especially in an emergency situation like an engine fire. This includes the agent's actions related to fire suppression, communication with ATC, and any changes to the flight path or other systems.","Medium - The autonomous agent should be somewhat directable by the human pilot. While the agent should be capable of taking independent action in an emergency, the pilot should still be able to influence the agent's decisions and actions. This might include directing the agent to communicate specific information to ATC, or to prioritize certain actions over others. However, the agent should also be able to act independently if the pilot is incapacitated or otherwise unable to direct the agent."
Engine Fire Emergency Procedure,Start chrono,green,,green,,High,Medium,High
Engine Fire Emergency Procedure,Check light after 15 seconds,yellow,yellow,green,,"High - The autonomous agent should be able to observe the status of the light and the time elapsed since the initiation of the Engine Fire Emergency Procedure. The human pilot should be able to observe the actions of the autonomous agent, such as whether it is monitoring the light and the elapsed time.",High - The autonomous agent should be able to predict that the human pilot will check the light after 15 seconds as part of the Engine Fire Emergency Procedure. The human pilot should be able to predict that the autonomous agent will support this task by monitoring the light and the elapsed time.,"Medium - The autonomous agent should be able to direct the human pilot to check the light after 15 seconds if necessary. However, the human pilot's ability to direct the autonomous agent may be limited, as the agent is designed to perform this task autonomously. The pilot should still be able to override the agent's actions if necessary."
Engine Fire Emergency Procedure,ENG FIRE switch lift cover and push,green,red,red,,High,Medium,Low
Engine Fire Emergency Procedure,"""Affected thrust lever, confirm and cutoff""",yellow,yellow,green,,"High - The autonomous agent must be able to observe the status of the affected thrust lever and the actions of the human pilot. This includes the ability to monitor the lever's position, the engine's status, and the pilot's actions. The human pilot must be able to observe the agent's actions and intentions, including any alerts or notifications it sends about the lever's status or its own actions.","High - The autonomous agent must be able to predict the human pilot's actions in response to an engine fire emergency. This includes understanding the sequence of the emergency procedure and anticipating the pilot's next steps. The human pilot must be able to predict the agent's actions, including when it will intervene, what actions it will take, and how it will communicate its intentions.","High - The autonomous agent must be able to accept and follow directions from the human pilot, including when to intervene and when to stand by. The agent must also be able to direct the human pilot's actions, such as instructing the pilot to confirm and cut off the affected thrust lever. The human pilot must be able to direct the agent's actions and decisions, including when to intervene and when to stand by."
Engine Fire Emergency Procedure,"""cutoff""",green,red,red,,High,Medium,Low
